,budget,company,country,director,genre,gross,name,rating,star,year
2519,7500000,Fox 2000 Pictures,USA,George Tillman Jr.,Comedy,43490057,Soul Food,R,Vanessa Williams,1997
2520,25000000,New Line Cinema,USA,Brett Ratner,Action,41067398,Money Talks,R,Charlie Sheen,1997
2521,37000000,Pacific Western,USA,Jeb Stuart,Crime,6482195,Switchback,R,Danny Glover,1997
2522,1000000,New Amsterdam Entertainment,USA,Mark Pavia,Fantasy,125397,The Night Flier,R,Miguel Ferrer,1997
2523,20000000,Sweetland Films,USA,Woody Allen,Comedy,10569071,Deconstructing Harry,R,Woody Allen,1997
2524,25000000,Touchstone Pictures,USA,Steve Oedekerk,Action,44455658,Nothing to Lose,R,Martin Lawrence,1997
2525,28000000,De Fina-Cappa,USA,Martin Scorsese,Biography,5532301,Kundun,PG-13,Tenzin Thuthob Tsarong,1997
2529,30000000,Mandalay Entertainment,USA,Hark Tsui,Action,11438337,Double Team,R,Jean-Claude Van Damme,1997
2532,20000000,Columbia Pictures Corporation,USA,Marco Brambilla,Action,14327206,Excess Baggage,PG-13,Alicia Silverstone,1997
2534,1000000,Fox Searchlight Pictures,USA,James Toback,Comedy,1950218,Two Girls and a Guy,NC-17,Robert Downey Jr.,1997
2535,12000000,Channel Four Films,UK,Danny Boyle,Comedy,4266243,A Life Less Ordinary,R,Cameron Diaz,1997
2536,35000000,Icon Entertainment International,USA,Bernard Rose,Drama,791830,Anna Karenina,PG-13,Sophie Marceau,1997
2538,12000000,Beacon Communications,USA,Andy Wilson,Crime,4052347,Playing God,R,David Duchovny,1997
2539,35000000,China Film Co-Production Corporation,USA,Ronny Yu,Action,6448817,Warriors of Virtue,PG,Angus Macfadyen,1997
2540,48000000,Metro-Goldwyn-Mayer (MGM),USA,Jon Avnet,Crime,22415440,Red Corner,R,Richard Gere,1997
2542,20000000,Warner Bros.,USA,Jon Amiel,Action,13801755,The Man Who Knew Too Little,PG,Bill Murray,1997
2543,25000000,Warner Bros.,USA,John Singleton,Action,13104494,Rosewood,R,Jon Voight,1997
2544,18000000,Miramax,France,Nick Cassavetes,Drama,7221836,Sin embargo es adorable,R,Sean Penn,1997
2546,25000000,Universal Pictures,UK,Fred Schepisi,Comedy,9381260,Fierce Creatures,PG-13,John Cleese,1997
2552,5000000,Live Entertainment,USA,Peter O'Fallon,Comedy,1692872,Suicide Kings,R,Christopher Walken,1997
2555,8000000,Hollywood Pictures,USA,Steve James,Biography,532190,Prefontaine,PG-13,Jared Leto,1997
2558,28000000,Universal Pictures,USA,Michael Ritchie,Comedy,8119205,A Simple Wish,PG,Martin Short,1997
2560,30000000,Walt Disney Pictures,USA,Stanley Tong,Adventure,21382456,Mr. Magoo,PG,Leslie Nielsen,1997
2561,20000000,Icon Entertainment International,USA,Kevin Reynolds,Drama,5716080,One Eight Seven,R,Samuel L. Jackson,1997
2564,32000000,David Kirschner Productions,USA,Mark Dindal,Animation,3562749,Cats Don't Dance,G,Scott Bakula,1997
2565,6000000,JVC Entertainment Networks,USA,Paul Schrader,Drama,6302154,Affliction,R,Nick Nolte,1997
2567,6000000,Trimark Pictures,USA,Kasi Lemmons,Drama,14821531,Eve's Bayou,R,Samuel L. Jackson,1997
2568,8000000,Saban Entertainment,USA,Shuki Levy,Action,8109349,Turbo: A Power Rangers Movie,PG,Jason David Frank,1997
2570,50000000,Warner Bros.,USA,Costa-Gavras,Crime,10556196,Mad City,PG-13,John Travolta,1997
2571,3300000,Agenda,UK,Kevin Allen,Comedy,74188,Twin Town,UNRATED,Llyr Ifans,1997
2573,55000000,Touchstone Pictures,USA,Thomas Carter,Action,31987563,Metro,R,Eddie Murphy,1997
2574,9000000,Miramax,UK,Michael Winterbottom,Drama,339648,Welcome to Sarajevo,R,Stephen Dillane,1997
2575,17000000,"Bubble Factory, The",USA,Paul Miller,Comedy,3506206,The Pest,PG-13,John Leguizamo,1997
2576,35000000,Bavaria Film,Denmark,Bille August,Action,2221994,Smilla's Sense of Snow,R,Julia Ormond,1997
2577,5000000,Butcher's Run Films,USA,Robert Duvall,Drama,20733485,The Apostle,PG-13,Robert Duvall,1997
2578,24000000,New Line Cinema,USA,Mike Figgis,Drama,2618335,One Night Stand,R,Wesley Snipes,1997
2580,85000000,Northern Lights Entertainment,USA,Ivan Reitman,Comedy,28659604,Fathers' Day,PG-13,Robin Williams,1997
2584,35000000,Universal Pictures,USA,Bryan Spicer,Comedy,31611225,For Richer or Poorer,PG-13,Tim Allen,1997
2585,1500000,Bandeira Entertainment,USA,Mark Waters,Comedy,617403,The House of Yes,R,Parker Posey,1997
2589,3000000,Orion Pictures,USA,Tom Schulman,Comedy,3559990,8 Heads in a Duffel Bag,R,Joe Pesci,1997
2590,10000000,Jasmine Productions Inc.,USA,David Mamet,Drama,10200000,The Spanish Prisoner,PG,Steve Martin,1997
2591,53000000,Caravan Pictures,USA,Christopher Cain,Comedy,19736932,Gone Fishin',PG,Joe Pesci,1997
2592,8000000,Largo Entertainment,USA,John Irvin,Crime,1495332,City of Industry,R,Harvey Keitel,1997
2594,15000000,Daybreak,USA,George Huang,Comedy,309,Trojan War,PG-13,Will Friedle,1997
2595,11000000,All Net Productions,USA,Randall Miller,Comedy,14708874,The Sixth Man,PG-13,Marlon Wayans,1997
2597,31190000,"Bubble Factory, The",USA,Bryan Spicer,Action,4529843,McHale's Navy,PG,Tom Arnold,1997
2598,10000000,Addis Wechsler Pictures,USA,Theodore Witcher,Drama,12514138,Love Jones,R,Larenz Tate,1997
2599,25000,Alliance Atlantis Communications,Canada,Neil LaBute,Comedy,2856622,In the Company of Men,R,Aaron Eckhart,1997
2600,15000000,Robert Simonds Productions,USA,Andy Cadiff,Comedy,10713605,Leave It to Beaver,PG,Christopher McDonald,1997
